Date,Sector,Sym,PctRet
2017-08-11,FX,AD,-0.00045599999999999997
2017-08-14,FX,AD,0.006887000000000001
2017-08-14,FX,AD,0.002109
2017-08-15,FX,AD,-0.000171
2017-08-16,FX,AD,0.006887000000000001
2017-08-16,FX,AD,0.007056000000000001
2017-08-17,FX,AD,0.005822
2017-08-18,FX,AD,-0.0035909999999999996
2017-08-18,FX,AD,-0.000144
2017-08-24,FX,AD,-0.0037630000000000003
2017-08-25,FX,AD,-0.00551
2017-08-25,FX,AD,-0.005016
2017-08-28,FX,AD,0.001615
2017-08-29,FX,AD,-0.002451
2017-08-31,FX,AD,-0.005183
2017-08-31,FX,AD,0.006954000000000001
2017-09-05,FX,AD,-0.006384
2017-09-07,FX,AD,-0.000741
2017-09-13,FX,AD,0.000684
2017-09-18,FX,AD,0.006887000000000001
2017-09-18,FX,AD,-0.001968
2017-09-19,FX,AD,0.006840000000000001
2017-09-19,FX,AD,-0.005183
2017-09-19,FX,AD,0.001562
2017-09-20,FX,AD,0.006887000000000001
2017-09-20,FX,AD,0.006954000000000001
2017-09-20,FX,AD,-0.006068
2017-09-20,FX,AD,-0.002496
2017-09-21,FX,AD,0.007051999999999999
2017-09-21,FX,AD,0.000704
2017-09-22,FX,AD,-0.0030239999999999998
2017-09-26,FX,AD,-0.0039840000000000006
2017-10-05,FX,AD,0.006887000000000001
2017-10-05,FX,AD,0.004959000000000001
2017-10-06,FX,AD,-0.005301
2017-10-13,FX,AD,0.002109
2017-10-20,FX,AD,0.006887000000000001
2017-10-20,FX,AD,0.001296
2017-10-23,FX,AD,-0.000285
2017-10-24,FX,AD,-0.004118
2017-10-25,FX,AD,0.0029760000000000003
2017-11-02,FX,AD,-0.0019879999999999997
2017-11-03,FX,AD,-0.008733
2017-11-03,FX,AD,0.000336
2017-11-06,FX,AD,0.006840000000000001
2017-11-07,FX,AD,0.006887000000000001
2017-11-07,FX,AD,-0.002166
2017-11-08,FX,AD,-0.0017100000000000001
2017-11-09,FX,AD,-0.00551
2017-11-10,FX,AD,-0.00551
2017-11-10,FX,AD,-0.001235
2017-11-13,FX,AD,-0.0012779999999999998
2017-11-14,FX,AD,-0.00551
2017-11-15,FX,AD,-0.003408
2017-11-17,FX,AD,-0.005301
2017-11-21,FX,AD,0.0004969999999999999
2017-11-22,FX,AD,-0.00551
2017-11-22,FX,AD,0.006840000000000001
2017-11-27,FX,AD,-0.005183
2017-11-29,FX,AD,-0.0037630000000000003
